Title,Pieces,Minifigs,Price
Newbury Haunted High School,1474.0,8,116.97
Spinjitzu Kai,97.0,1,9.99
Spinjitzu Jay,97.0,1,9.99
Spinjitzu Zane,109.0,1,9.99
Spinjitzu Cole,117.0,1,9.99
Spinjitzu Nya & Wu,227.0,2,19.99
Spinjitzu Lloyd vs. Garmadon,208.0,2,19.99
The Samurai Mech,154.0,3,14.61
The Golden Dragon,171.0,3,19.49
Kai's Blade Cycle & Zane's Snowmobile,376.0,4,29.99
Jay's Storm Fighter,490.0,4,38.98
Cole's Earth Driller ,587.0,4,49.99
Monastery of Spinjitzu,1070.0,8,77.97
Lloyd's Journey,81.0,2,14.61
Cole's Dirt Bike,212.0,3,19.49
Shuricopter,361.0,3,29.23
Fire Fang,463.0,4,43.86
Katana 4X4,450.0,5,48.73
Lloyd's Titan Mech,876.0,6,68.23
Land Bounty,1178.0,9,126.71
Castle of the Forsaken Emperor,1218.0,7,97.47
The Ultra Dragon,951.0,6,87.72
Monastery Training,122.0,2,9.99
Spinjitzu Slam - Lloyd,70.0,1,9.74
Spinjitzu Slam - Jay,72.0,1,9.74
Spinjitzu Slam - Zane,63.0,1,9.99
Spinjitzu Slam - Kai vs. Samurai,164.0,2,19.49
LEGO Movie Maker,482.0,6,49.99
Emmet and Benny's 'Build and Fix' Workshop!,117.0,2,19.99
Unikitty's Sweetest Friends EVER!,76.0,3,9.99
Emmet's Thricycle!,174.0,1,14.99
Introducing Queen Watevra Wa'Nabi,115.0,4,19.99
Queen Watevra's Build Whatever Box!,455.0,,39.99
Rex's Rex-treme Offroader!,236.0,2,29.99
Ultrakatty & Warrior Lucy!,348.0,2,29.99
Pop-Up Party Bus,1024.0,4,89.99
Emmet and Lucy's Escape Buggy!,550.0,4,49.99
Sweet Mayhem's Systar Starship!,502.0,3,69.99
Emmet's Dream House/Rescue Rocket!,706.0,4,59.99
Emmet's Builder Box!,125.0,1,29.99
Lucy's Builder Box!,141.0,2,29.99
MetalBeard's Heavy Metal Motor Trike!,461.0,2,59.99
Rex's Rexplorer!,1187.0,2,119.99
Battle-Ready Batman and MetalBeard,168.0,2,19.99
Shimmer & Shine Sparkle Spa!,691.0,8,69.99
Queen Watevra's 'So-Not-Evil' Space Palace,995.0,5,99.99
The Rexcelsior!,1826.0,4,149.99
Welcome to Apocalypseburg!,3178.0,13,299.99
Benny's Space Squad,68.0,5,9.99
Emmet's Triple-Decker Couch Mech,312.0,3,29.99
Good Morning Sparkle Babies!,50.0,4,9.99
Systar Party Crew,196.0,2,19.99
Wyld-Mayhem Star Fighter,405.0,4,49.99
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},,,
Awesome Remix Emmet,7.0,1,
Battle-Ready Lucy,8.0,1,
Apocalypse Benny,8.0,1,
Giraffe Guy,6.0,1,
Crayon Girl,6.0,1,
Sherry Scratchen-Post & Scarfield,6.0,1,
Hula Lula,8.0,1,
Watermelon Dude,6.0,1,
Flashback Lucy,7.0,1,
Swamp Creature,6.0,1,
Candy Rapper,8.0,1,
Gone Golfin' President Business,6.0,1,
Apocalypseburg Abe,7.0,1,
Vest Friend Rex,6.0,1,
Kitty Pop,7.0,1,
Dorothy Gale & Toto,7.0,1,
Cowardly Lion,6.0,1,
Scarecrow,6.0,1,
Tin Man,8.0,1,
Unikitty,15.0,1,
LEGO Minifigures - The LEGO Movie 2 Series - Complete,144.0,20,
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,,,3.99
LEGO Minifigures - Disney Series 2 {Random bag},,,
Vintage Mickey,6.0,1,3.99
Vintage Minnie,7.0,1,3.99
Huey Duck,7.0,1,3.99
Dewey Duck,7.0,1,3.99
Louie Duck,8.0,1,3.99
Scrooge McDuck,8.0,1,3.99
Chip,6.0,1,3.99
Dale,5.0,1,3.99
Elsa,7.0,1,3.99
Anna,8.0,1,3.99
Jafar,8.0,1,3.99
Jasmine,6.0,1,3.99
Hades,6.0,1,3.99
Hercules,8.0,1,3.99
Sally,7.0,1,3.99
Jack Skellington,10.0,1,3.99
Edna Mode,8.0,1,3.99
Frozone,7.0,1,3.99
LEGO Minifigures - Disney Series 2 - Complete,129.0,18,
LEGO Minifigures - Disney Series 2 - Sealed Box,,,3.99
LEGO Minifigures - Series 19 {Random Bag},,,
Video Game Champ,7.0,1,
Shower Guy,8.0,1,
Fright Knight,9.0,1,
Monkey King,12.0,1,
Programmer,10.0,1,
Mummy Queen,6.0,1,
Jungle Explorer,8.0,1,
Fire Fighter,6.0,1,
Dog Sitter,9.0,1,
Pizza Costume Guy,6.0,1,
Galactic Bounty Hunter,8.0,1,
Gardener,7.0,1,
Rugby Player,6.0,1,
Fox Costume Girl,8.0,1,
Bear Costume Guy,7.0,1,
Mountain Biker,10.0,1,
LEGO Minifigures - Series 19 - Complete,127.0,16,3.99
LEGO Minifigures - Series 19 - Sealed Box,,,
Disney Train and Station,2925.0,5,329.99
Naboo Starfighter Microfighter,62.0,1,9.99
Sith Infiltrator Microfighter,92.0,1,9.99
Elite Praetorian Guard Battle Pack,109.0,5,14.99
Inferno Squad Battle Pack,118.0,4,14.99
Darth Vader Bust,327.0,,
Escape Pod vs. Dewback Microfighters,177.0,3,19.99
Death Star Escape,329.0,4,29.99
Kylo Ren & Sith Trooper,240.0,,19.99
Droid Gunship,389.0,4,59.99
AT-AP Walker,689.0,5,68.23
X-wing Starfighter Trench Run,132.0,3,29.23
Duel on Starkiller Base,191.0,2,19.99
TIE Fighter Attack,77.0,2,19.99
Action Battle Endor Assault,193.0,2,29.23
Action Battle Hoth Generator Attack,235.0,2,29.23
Major Vonreg's TIE Fighter,496.0,4,68.23
Action Battle Echo Base Defense,504.0,6,58.48
Black Ace TIE Interceptor,396.0,3,48.73
Slave I - 20th Anniversary Edition,1007.0,5,116.97
Tantive IV,1768.0,6,194.95
LEGO Star Wars Advent Calendar,280.0,9,29.99
Death Star Cannon,159.0,2,19.49
Rebel A-wing Starfighter,62.0,2,14.99
Resistance A-wing Starfighter,269.0,2,29.23
Resistance Y-wing Starfighter,578.0,5,69.99
Pasaana Speeder Chase,373.0,4,48.73
Darth Vader's Castle,1060.0,6,129.99
Imperial Star Destroyer,4784.0,2,699.99
Droid Commander,1177.0,,194.95
AT-ST Raider,540.0,4,59.99
Yoda,1771.0,1,119.99
Kylo Ren's Shuttle,1005.0,6,119.99
Millennium Falcon,1351.0,7,169.99
Anakin's Podracer – 20th Anniversary Edition,279.0,3,29.23
Snowspeeder – 20th Anniversary Edition,309.0,4,39.99
Clone Scout Walker  – 20th Anniversary Edition,250.0,5,29.99
Imperial Dropship  – 20th Anniversary Edition,125.0,5,19.99
Mini Boost Droid Commander,62.0,3,
The Upside Down,2287.0,8,199.99
Ferrari F40 Competizione,198.0,1,14.99
Chevrolet Camaro ZL1 Race Car,198.0,1,14.99
McLaren Senna,219.0,1,14.99
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,478.0,3,39.99
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,481.0,4,48.73
1974 Porsche 911 Turbo 3.0,180.0,1,14.99
Dilophosaurus on the Loose,168.0,3,24.36
Baryonyx Face-Off: The Treasure Hunt,434.0,4,59.99
Jurassic Park: T. rex Rampage,3120.0,6,249.99
Triceratops Rampage,447.0,4,58.48
T. rex vs Dino-Mech Battle,716.0,4,87.72
Expecto Patronum,121.0,4,19.49
Hungarian Horntail Triwizard Challenge,265.0,4,34.11
Hagrid's Hut: Buckbeak's Rescue,496.0,6,59.99
Hogwarts Clock Tower,922.0,8,99.99
The Knight Bus,403.0,3,39.99
Beauxbatons' Carriage: Arrival at Hogwarts ,430.0,4,48.73
LEGO Harry Potter Advent Calendar,305.0,8,24.99
The Rise of Voldemort,184.0,6,19.49
Tracer vs. Widowmaker,129.0,2,14.99
Hanzo vs. Genji,197.0,3,24.36
Dorado Showdown,419.0,3,29.99
D.Va & Reinhardt,455.0,2,39.99
Bastion,602.0,,58.48
Watchpoint: Gibraltar,730.0,4,87.72
Wrecking Ball,227.0,1,19.49
Junkrat & Roadhog,380.0,2,48.73
Spider-Man Bike Rescue,235.0,3,24.36
Spider-Man's Spider Crawler,418.0,4,38.98
Spider Mech vs. Venom,604.0,4,48.73
Batman Batsub and the Underwater Clash,174.0,3,24.99
Batman Mech vs. Poison Ivy Mech ,375.0,4,39.99
Mr. Freeze Batcycle Battle,200.0,3,24.36
Batmobile: Pursuit of The Joker,342.0,2,29.23
Batwing and The Riddler Heist,489.0,4,48.73
Batcave Clayface Invasion,1038.0,6,97.47
Captain America: Outriders Attack,167.0,4,24.36
War Machine Buster,362.0,4,34.11
Iron Man Hall of Armor,524.0,6,59.99
Avengers Ultimate Quinjet,838.0,6,77.97
Captain Marvel and The Skrull Attack,307.0,3,29.23
Molten Man Battle,294.0,3,29.23
Hydro-Man Attack,471.0,4,39.99
Stark Jet and the Drone Attack,504.0,4,58.48
Avengers Compound Battle,699.0,7,97.47
Spider-Man Car Chase,52.0,2,9.99
Spider-Man: Doc Ock Diamond Heist,150.0,3,29.99
Batman vs. The Riddler Robbery,59.0,2,9.74
Batman and The Joker Escape,171.0,4,38.98
1989 Batmobile,3306.0,3,249.99
Avengers Hulk Helicopter Rescue,482.0,5,58.48
